,author_id,created_at,edit_history_tweet_ids,id,text
51,1009620314446319627,2022-12-03 01:32:59+00:00,[1598852765681614854],1598852765681614854,"Today's food log:

½cup oats
1cup cashew milk
1tbsp maple syrup
2 jam cookies

Total: 536cals

Tip:
Start intermittent fasting (8h food window, 16h fasting). When you narrow the time you can eat, you'll eat less.

#edtwt #edtwtthread #proana #proanatwt #thinspo #proanatwt #fitspo"
52,1595674533372973056,2022-12-03 01:20:33+00:00,[1598849636693073922],1598849636693073922,Mmmmmm… yummy!!! 😜. #goon #gooner #edge #jerk #jerking #goondaddy #goonbuds #goonlife #balls #asian #asiangirl #fitspo #spinner #jerkbuddy #jerkchat #girl #asiangirls #tightgirls #goonfuel #fuel #feedme #jerkfuel https://t.co/quvrYmxySR
53,3124687882,2022-12-03 01:09:51+00:00,[1598846944553492480],1598846944553492480,"We’ll see you in the morning!
Sat: 8:15a~DanceMixx; 9:20a~DanceMixx
New customers: just show up…&amp; we’ve got a great intro offer for u!
#fitspo #fitspiration #fitness #dancefitness #Greenville #yeahthatgreenville #upstatesc #greersc #gvltoday #greenville360 #whatsgoingongvl #gvl https://t.co/mII892sg26"
54,4798944434,2022-12-03 01:01:20+00:00,[1598844803625664512],1598844803625664512,"Check out the full article on Dr. Tsay's tips for a healthier lifestyle @drtjtsay⁠ ⁠
⁠
https://t.co/crL0PjNRXj
⁠
#Dr.Tsay  #selflove ⁠#weightloss
#active #fitspo #fitfam #healthyeating #instafit #healthyliving #health #fitnesslifestyle https://t.co/y4FRPQdLKK"
55,1539941231891030017,2022-12-03 01:00:57+00:00,[1598844705185402881],1598844705185402881,"These 3 Companies Can Help You Get Up To $35,000 Loan, Even With Bad Credit | #fitspiration #renovationtips #remodel #cashapp #stonks https://t.co/F3Q8Tn5rKa"
56,705040642179727361,2022-12-03 01:00:08+00:00,[1598844501069647872],1598844501069647872,#FitSpo Want a flat tummy It is all about what you eat and do not eat! #Nutrition #abs #Fitfam #GetFITnLEAN https://t.co/wKXS5YCeZn
57,1492968633152286723,2022-12-03 01:00:01+00:00,[1598844469847019520],1598844469847019520,Best Natural Weight Loss Supplement that Works | weight loss Website: https://t.co/igLXdJD1X5   #exipure #weightloss #supplements #losebellyfat #health #fitnessmotivation #healthylifestyle #fitspo #diet #weightloss https://t.co/WtRFfRA6YA
58,57050124,2022-12-03 00:59:00+00:00,[1598844216297361409],1598844216297361409,If you are craving salt don't deny yourself. You need it! Just be sure to avoid refined salt. #Fitspiration
59,705040642179727361,2022-12-03 00:40:08+00:00,[1598839464725516289],1598839464725516289,"#Fitfam Want great glutes, aka fine booty! SQUAT! #GetFITnLEAN #Fitspo https://t.co/2bupHkubGS"
60,705040642179727361,2022-12-02 23:00:08+00:00,[1598814300747010052],1598814300747010052,#Fitfam Rest Day... sitting around thinking about training! RT if you agree!! #Fitspo #GetFITnLEAN https://t.co/dfLFXa6CpB
61,705040642179727361,2022-12-02 22:00:08+00:00,[1598799202301132802],1598799202301132802,#FitSpo No Pain - No Gain! Get you some #Fitfam!! #GetFITnLEAN https://t.co/gxxZK2MB4i
62,1539941231891030017,2022-12-02 21:17:57+00:00,[1598788583921426432],1598788583921426432,Discount Code for HealthyCell: HOBOLAPTOP – Vegan Supplementation 👉 https://t.co/SE8XjDF8uE | #veganfoodie #vegannutrition #fitspiration #vegangains #ad
63,867886586238648320,2022-12-02 21:01:24+00:00,[1598784419795505203],1598784419795505203,"30% off sitewide🎈LAST DAY to shop our Cyber Week Sale! Pick from the old &amp; the new, it’s ALL 30% off with code CYBERWEEK2022.⁣
⁣
 #Fitspiration #FitGoals #GymWear #WorkingOnMyFitness #BlackFriday #Bla https://t.co/W3bt5dFvre https://t.co/d1U2knM1oq"
64,1569363481329106944,2022-12-02 20:57:04+00:00,[1598783328592793624],1598783328592793624,"MY INDIGENOUS HERB PROVIDERS

https://t.co/crWNkcJLOl

#healthymind #healthlifestyle #firness #fitlife #diet #instahealth #fitspo #healthybody #healthylife #wellness"
65,1569363481329106944,2022-12-02 20:52:03+00:00,[1598782068690808832],1598782068690808832,"MY INDIGENOUS HERB PROVIDERS

https://t.co/crWNkd1mFT

#diet #fitfam #fitnessaddict #fitnessfreak #fitspo #foodgasm #getmoving #gym #healthylife #instadaily"
